level,algorithm,heuristic,success,cost,expanded_nodes,frontier_nodes,elapsed_seconds,operations_done,solution_length,solution,error
Microban IV - 1.level,bfs,,True,30,205,10,0.0064426910830661654,499,30,↓←↓←←↑→→→↑→→↓←↓←←↑→←←←↓↓→↑←↑→→,
Microban IV - 1.level,dfs,,True,52,180,20,0.005892290035262704,440,52,↓←↓←←↑→→→↑→→↓←↓←←→→↑↑←↓→↓←↑←←←↓↓→↑←↑→→→↓←↑←←↓↓→↑←↑→→,
Microban IV - 1.level,astar,player_distance,True,30,185,13,0.007930586929433048,451,30,↓←↓←←↑→→→↑→→↓←↓←←↑→←←←↓↓→↑←↑→→,
Microban IV - 1.level,greedy,player_distance,True,34,144,45,0.009157369961030781,349,34,↓←↓←←↑→→→↑→→↓←↓←←↑←←↓↓→↑→↑→←↓←←↑→→,
Microban IV - 1.level,astar,min_goal_distance,True,30,193,10,0.013452577055431902,469,30,↓←↓←←↑→→→↑→→↓←↓←←↑→←←←↓↓→↑←↑→→,
Microban IV - 1.level,astar,hungarian_matching,True,30,191,11,0.016553218010812998,465,30,↓←↓←←↑→→→↑→→↓←↓←←↑→←←←↓↓→↑←↑→→,
Microban IV - 1.level,greedy,hungarian_matching,True,34,157,16,0.013720080023631454,376,34,↓←↓←←↑→→→↑→→↓←↓←←↑←←↓↓→↑→↑→↓←←←↑→→,
