level,algorithm,heuristic,success,cost,expanded_nodes,frontier_nodes,elapsed_seconds,operations_done,solution_length,solution,error
Microban IV - 1.level,dfs - collapsed,,True,34,19,8,0.002344904001802206,31,34,↓←↓←←↑→→→↑→→↓←↓←←↑←←↓↓→↑→↑→↓←←←↑→→,
Microban IV - 1.level,bfs - collapsed,,True,30,35,3,0.004576015984639525,64,30,↓←↓←←↑→→→↑→→↓←↓←←↑→←←←↓↓→↑←↑→→,
