generation,elapsed_time_sec,best,mean,std,worst,best_error,mean_error
1,0.008646488189697266,0.50197613,0.43686529994010925,0.025299880653619766,0.40231043100357056,49.802387,56.313470005989075
2,0.020651817321777344,0.5051471,0.46177423000335693,0.021927332505583763,0.433563768863678,49.48529,53.82257699966431
3,0.03179430961608887,0.51441383,0.48088395595550537,0.015348507091403008,0.4597930312156677,48.558617,51.91160440444946
4,0.044733524322509766,0.54459345,0.49482718110084534,0.01570959761738777,0.4778072237968445,45.540653,50.517281889915466
5,0.0579991340637207,0.54498136,0.5126574039459229,0.015155053697526455,0.49250030517578125,45.501865,48.734259605407715
6,0.07045316696166992,0.5714166,0.5269449353218079,0.01545663084834814,0.509806215763092,42.858337,47.305506467819214
7,0.08237361907958984,0.5722444,0.5411220788955688,0.014277661219239235,0.5228433609008789,42.77556,45.887792110443115
8,0.0950782299041748,0.5876777,0.554468035697937,0.012698332779109478,0.5414695739746094,41.232227,44.5531964302063
9,0.10699748992919922,0.5997857,0.5678656101226807,0.013340072706341743,0.5519222617149353,40.02143,43.213438987731934
10,0.11983871459960938,0.5997857,0.579383373260498,0.01061092410236597,0.5653155446052551,40.02143,42.061662673950195
11,0.1264026165008545,0.6122004,0.5894803404808044,0.00904599018394947,0.576290488243103,38.77996,41.051965951919556
12,0.13820266723632812,0.62134457,0.5993668437004089,0.00872078351676464,0.5876777172088623,37.865543,40.063315629959106
13,0.15087199211120605,0.6360208,0.6097584366798401,0.008831621147692204,0.5997856855392456,36.397923,39.02415633201599
14,0.1648411750793457,0.6360208,0.6183086037635803,0.008180325850844383,0.6090685129165649,36.397923,38.16913962364197
15,0.17014551162719727,0.637313,0.6269650459289551,0.006137525662779808,0.6181005239486694,36.2687,37.30349540710449
16,0.1822831630706787,0.637313,0.631223738193512,0.004335791803896427,0.6250133514404297,36.2687,36.877626180648804
17,0.18741798400878906,0.64181566,0.6357793211936951,0.0025979317724704742,0.6310291290283203,35.818436,36.42206788063049
18,0.19898200035095215,0.64444286,0.6378952264785767,0.0025687937159091234,0.6359328031539917,35.555714,36.210477352142334
19,0.2105114459991455,0.6456115,0.6403024792671204,0.00257289526052773,0.6373130083084106,35.438847,35.969752073287964
20,0.22288227081298828,0.6540632,0.6433404684066772,0.0037334247026592493,0.6392248868942261,34.593678,35.665953159332275
21,0.23464202880859375,0.6554153,0.6472340226173401,0.003908444661647081,0.6423237323760986,34.45847,35.27659773826599
22,0.2477567195892334,0.65877974,0.6506966948509216,0.0034955046139657497,0.6459609270095825,34.122025,34.93033051490784
23,0.25972867012023926,0.66084343,0.6543195843696594,0.0026085705030709505,0.650825023651123,33.915657,34.56804156303406
24,0.27112483978271484,0.66287386,0.6566998362541199,0.002640344901010394,0.6539839506149292,33.712612,34.33001637458801
25,0.28344035148620605,0.66874355,0.6595089435577393,0.0028275877702981234,0.6555497646331787,33.125645,34.049105644226074
26,0.2963569164276123,0.67492425,0.6638548374176025,0.004523113369941711,0.6594245433807373,32.507576,33.614516258239746
27,0.3084588050842285,0.67695284,0.6676188707351685,0.0044070640578866005,0.6626070737838745,32.304718,33.238112926483154
28,0.3204357624053955,0.6776103,0.6719592213630676,0.002945894841104746,0.6674450039863586,32.23897,32.80407786369324
29,0.3320622444152832,0.6889895,0.6759440898895264,0.0036674696020781994,0.672005832195282,31.101048,32.40559101104736
30,0.34414029121398926,0.6945262,0.6795101165771484,0.0046610962599515915,0.6749242544174194,30.54738,32.048988342285156
31,0.3572838306427002,0.6973383,0.6831275820732117,0.005438539665192366,0.6778340935707092,30.266172,31.687241792678833
32,0.3695793151855469,0.6973383,0.6878771185874939,0.004710623528808355,0.6812595129013062,30.266172,31.21228814125061
33,0.3761758804321289,0.7009212,0.6910964846611023,0.0037814234383404255,0.6868121027946472,29.907883,30.89035153388977
34,0.38862037658691406,0.7009212,0.6939926147460938,0.0033832178451120853,0.6891055107116699,29.907883,30.600738525390625
35,0.3940093517303467,0.7021003,0.6967242360115051,0.0025861416943371296,0.6934274435043335,29.789972,30.327576398849487
36,0.4063699245452881,0.7087357,0.6994530558586121,0.0027502451557666063,0.6961151361465454,29.12643,30.054694414138794
37,0.41953277587890625,0.7096889,0.7020313739776611,0.002789977937936783,0.6988441944122314,29.031109,29.796862602233887
38,0.43162965774536133,0.711525,0.704494833946228,0.0031612787861377,0.7009580731391907,28.847498,29.550516605377197
39,0.4444911479949951,0.711525,0.7068604230880737,0.002689455170184374,0.703457236289978,28.847498,29.313957691192627
40,0.4503207206726074,0.7170286,0.7098582983016968,0.002602856606245041,0.706778347492218,28.297138,29.014170169830322
41,0.4625284671783447,0.7170286,0.7122718691825867,0.0024963445030152798,0.7092641592025757,28.297138,28.772813081741333
42,0.467822790145874,0.7176887,0.7146403789520264,0.001774953561834991,0.7115771770477295,28.231133,28.535962104797363
43,0.48125362396240234,0.7190337,0.716318666934967,0.0010614455677568913,0.714736819267273,28.096628,28.368133306503296
44,0.49376463890075684,0.72036153,0.7172853350639343,0.0008784316596575081,0.7162888050079346,27.963846,28.271466493606567
45,0.5057468414306641,0.7237033,0.7180511355400085,0.0014137298567220569,0.7171902656555176,27.629667,28.194886445999146
46,0.517247200012207,0.7237033,0.7189015746116638,0.0017422155942767859,0.7175095081329346,27.629667,28.109842538833618
47,0.5237338542938232,0.73509324,0.7211402654647827,0.003853568807244301,0.7180553674697876,26.490677,27.88597345352173
48,0.5354514122009277,0.73509324,0.72471022605896,0.004777335096150637,0.7201868295669556,26.490677,27.528977394104004
49,0.5415024757385254,0.7430776,0.7287295460700989,0.0049494109116494656,0.723605751991272,25.692242,27.127045392990112
50,0.5530354976654053,0.7434499,0.7342010736465454,0.004637222737073898,0.7281641960144043,25.655006,26.57989263534546
51,0.565366268157959,0.7451542,0.7378063201904297,0.0037341208662837744,0.7343149185180664,25.48458,26.21936798095703
52,0.5767841339111328,0.7451825,0.7414311170578003,0.0030223298817873,0.736224353313446,25.481749,25.85688829421997
53,0.5901951789855957,0.74641865,0.7441231608390808,0.0009813422802835703,0.7429191470146179,25.358135,25.58768391609192
54,0.6018540859222412,0.74875784,0.7452133297920227,0.0013033219147473574,0.7436089515686035,25.124216,25.47866702079773
55,0.613067626953125,0.74948883,0.7465741634368896,0.0014013837790116668,0.7450228333473206,25.051117,25.342583656311035
56,0.6250002384185791,0.7520798,0.7477872371673584,0.0013482075883075595,0.7461848258972168,24.79202,25.22127628326416
57,0.63840651512146,0.75399154,0.7491689324378967,0.0016426921356469393,0.7478058338165283,24.600845,25.083106756210327
58,0.6507861614227295,0.75833803,0.7506930828094482,0.002224067924544215,0.7485908269882202,24.166197,24.930691719055176
59,0.6634774208068848,0.75833803,0.7527326941490173,0.0022105579264461994,0.7500971555709839,24.166197,24.726730585098267
60,0.669872522354126,0.75884634,0.7545803189277649,0.002111219335347414,0.7521415948867798,24.115366,24.54196810722351
61,0.6825015544891357,0.7605921,0.7562137842178345,0.002214929321780801,0.7539819478988647,23.94079,24.378621578216553
62,0.6954834461212158,0.7605921,0.7585077881813049,0.0015361763071268797,0.7548776268959045,23.94079,24.149221181869507
63,0.7005834579467773,0.76301616,0.7595824599266052,0.0010161896934732795,0.7584890723228455,23.698383,24.041754007339478
64,0.7137424945831299,0.76301616,0.7603781819343567,0.0009448746568523347,0.7590095400810242,23.698383,23.96218180656433
65,0.7200489044189453,0.7684519,0.7615339756011963,0.001842248602770269,0.7600952386856079,23.154808,23.84660243988037
66,0.7333536148071289,0.76847553,0.7633606791496277,0.0024799008388072252,0.7608128786087036,23.152447,23.66393208503723
67,0.746208667755127,0.7690665,0.7657465934753418,0.002244610106572509,0.7626311779022217,23.09335,23.42534065246582
68,0.7583792209625244,0.7733747,0.76804518699646,0.0015356284566223621,0.7656117081642151,22.662533,23.195481300354004
69,0.771061897277832,0.7733747,0.7692611813545227,0.001419643172994256,0.7683549523353577,22.662533,23.07388186454773
70,0.7781107425689697,0.7778587,0.770867109298706,0.0028940532356500626,0.7685301899909973,22.214132,22.913289070129395
71,0.7905199527740479,0.77810997,0.7735103368759155,0.0027526873163878918,0.7694506049156189,22.189003,22.648966312408447
72,0.8037412166595459,0.77861804,0.7762426137924194,0.0018533207476139069,0.7733746767044067,22.138197,22.375738620758057
73,0.8165152072906494,0.7791032,0.7779514789581299,0.0004409983812365681,0.7771459221839905,22.089678,22.20485210418701
74,0.8290159702301025,0.78135145,0.7784461975097656,0.0007300981669686735,0.7778586745262146,21.864855,22.155380249023438
75,0.8418588638305664,0.78135145,0.7792079448699951,0.0009027918567880988,0.778202474117279,21.864855,22.07920551300049
76,0.8482120037078857,0.78224057,0.7800877094268799,0.0009978702291846275,0.7790319919586182,21.775944,21.99122905731201
77,0.8605725765228271,0.78224057,0.7807943820953369,0.000802332884632051,0.7795699238777161,21.775944,21.92056179046631
78,0.8664791584014893,0.78224057,0.7814331650733948,0.000401173165300861,0.7808884382247925,21.775944,21.856683492660522
79,0.8715837001800537,0.7822576,0.7816874980926514,0.0003954059793613851,0.7813514471054077,21.774239,21.831250190734863
80,0.8852741718292236,0.7825705,0.7820924520492554,0.00027199022588320076,0.7814449071884155,21.742952,21.790754795074463
81,0.8973047733306885,0.7825848,0.7822891473770142,0.0001123992697102949,0.7822325825691223,21.741522,21.771085262298584
82,0.9090180397033691,0.7825848,0.7823269367218018,0.00013584915723185986,0.7822405695915222,21.741522,21.767306327819824
83,0.914341926574707,0.7825851,0.7824087738990784,0.00015227164840325713,0.782257616519928,21.741491,21.759122610092163
84,0.9261810779571533,0.7827386,0.7825649380683899,6.545816722791642e-05,0.7823128700256348,21.726137,21.74350619316101
85,0.9390945434570312,0.7827386,0.7825950384140015,4.259382330928929e-05,0.782570481300354,21.726137,21.740496158599854
86,0.9455797672271729,0.78287315,0.7826252579689026,8.411847375100479e-05,0.7825847864151001,21.712685,21.73747420310974
87,0.95845627784729,0.7830132,0.7826992869377136,0.00014392977755051106,0.782585084438324,21.698677,21.730071306228638
88,0.9700162410736084,0.78302854,0.7828225493431091,0.00013184986892156303,0.782585084438324,21.697145,21.717745065689087
89,0.9819402694702148,0.783329,0.782930314540863,0.00012473989045247436,0.7827703952789307,21.667099,21.706968545913696
90,0.9935235977172852,0.783329,0.7830438017845154,0.00011317710595903918,0.7828731536865234,21.667099,21.695619821548462
91,0.9981122016906738,0.78346914,0.7831358909606934,0.00013980091898702085,0.7830285429954529,21.653086,21.686410903930664
92,1.01287841796875,0.78389424,0.7832798957824707,0.0001783358457032591,0.7830727696418762,21.610577,21.67201042175293
93,1.0260272026062012,0.7897266,0.7837087512016296,0.0012422014260664582,0.7832537889480591,21.027338,21.629124879837036
94,1.039907455444336,0.7897266,0.7842241525650024,0.0018523510079830885,0.783408522605896,21.027338,21.577584743499756
95,1.04648756980896,0.7897266,0.7847380638122559,0.0020866538397967815,0.7834904193878174,21.027338,21.526193618774414
96,1.0524938106536865,0.7908324,0.7861114740371704,0.0024376315996050835,0.7838942408561707,20.91676,21.38885259628296
97,1.0656847953796387,0.7908324,0.7876907587051392,0.002262316644191742,0.7847322225570679,20.91676,21.230924129486084
98,1.0720174312591553,0.7923827,0.7898733615875244,0.0009529060916975141,0.7883536219596863,20.761728,21.01266384124756
99,1.0849075317382812,0.7944362,0.7905330657958984,0.001140578300692141,0.7897266149520874,20.556377,20.946693420410156
100,1.0966367721557617,0.7944362,0.7913766503334045,0.0013483938528224826,0.7899778485298157,20.556377,20.862334966659546
101,1.1018710136413574,0.79506487,0.7925082445144653,0.0012767631560564041,0.7908324003219604,20.493513,20.749175548553467
102,1.1151201725006104,0.79506487,0.7934871912002563,0.0010116741759702563,0.7920358180999756,20.493513,20.651280879974365
103,1.121225357055664,0.7955221,0.7944087982177734,0.0004879150365013629,0.7934883832931519,20.44779,20.559120178222656
104,1.1334574222564697,0.7962633,0.7947695851325989,0.00044702767627313733,0.7944362163543701,20.373672,20.523041486740112
105,1.147470474243164,0.7962633,0.7950912714004517,0.00046075109275989234,0.7944408655166626,20.373672,20.490872859954834
106,1.1522150039672852,0.7962633,0.7953994870185852,0.0004744048055727035,0.7949426174163818,20.373672,20.46005129814148
107,1.1575429439544678,0.7962633,0.7957884073257446,0.00039159998414106667,0.7951717972755432,20.373672,20.421159267425537
108,1.163297414779663,0.7972131,0.796119213104248,0.0003227248089388013,0.795706033706665,20.278692,20.388078689575195
109,1.176363468170166,0.7978605,0.796430766582489,0.0004055580939166248,0.7961207628250122,20.21395,20.3569233417511
110,1.1892082691192627,0.7978605,0.7966216802597046,0.000520224217325449,0.7962632775306702,20.21395,20.33783197402954
111,1.1947617530822754,0.7980041,0.7971092462539673,0.0005464209243655205,0.7963681221008301,20.19959,20.28907537460327
112,1.207618236541748,0.79861677,0.7975966930389404,0.00045021084952168167,0.796869158744812,20.138323,20.240330696105957
