generation,elapsed_time_sec,best,mean,std,worst,best_error,mean_error
1,0.0041048526763916016,0.51734316,0.45732927322387695,0.039422858506441116,0.4033329486846924,48.265682,54.267072677612305
2,0.0146331787109375,0.51734316,0.48470720648765564,0.022915467619895935,0.45601850748062134,48.265682,51.529279351234436
3,0.019053936004638672,0.5569203,0.5078431367874146,0.02045411244034767,0.4804508686065674,44.307972,49.215686321258545
4,0.029794931411743164,0.55941564,0.5276100635528564,0.01774551346898079,0.511515736579895,44.058437,47.238993644714355
5,0.040880441665649414,0.56129426,0.546448290348053,0.013333797454833984,0.5194225311279297,43.870575,45.3551709651947
6,0.05199122428894043,0.5658885,0.5581761002540588,0.0044570909813046455,0.5504106879234314,43.411148,44.182389974594116
7,0.0620577335357666,0.57117975,0.5621653199195862,0.0038928643334656954,0.5581607818603516,42.882027,43.78346800804138
8,0.07412910461425781,0.5783453,0.5651693940162659,0.0049813976511359215,0.5612942576408386,42.16547,43.48306059837341
9,0.08552002906799316,0.5850524,0.5711262822151184,0.0063789840787649155,0.5641717910766602,41.494762,42.88737177848816
10,0.09618496894836426,0.5850524,0.5782932043075562,0.004769851453602314,0.5707749128341675,41.494762,42.170679569244385
11,0.1007382869720459,0.6245023,0.5864896178245544,0.011838103644549847,0.5783452987670898,37.54977,41.351038217544556
12,0.11168384552001953,0.6245023,0.5947749614715576,0.014506472274661064,0.5833172798156738,37.54977,40.52250385284424
13,0.1157686710357666,0.6245023,0.6056334972381592,0.013480309396982193,0.5874879956245422,37.54977,39.43665027618408
14,0.1198427677154541,0.6253906,0.6183827519416809,0.0065895975567400455,0.6053869128227234,37.46094,38.16172480583191
15,0.1309349536895752,0.6281532,0.6246896386146545,0.0015933371614664793,0.620110809803009,37.18468,37.531036138534546
16,0.14170622825622559,0.6297344,0.6260489821434021,0.0016951905563473701,0.6245023012161255,37.02656,37.39510178565979
17,0.15313434600830078,0.63312197,0.6281429529190063,0.001942063681781292,0.6257737874984741,36.687805,37.185704708099365
18,0.16345691680908203,0.6447757,0.6307365298271179,0.004505703691393137,0.6277847290039062,35.52243,36.92634701728821
19,0.1735525131225586,0.6447757,0.6332383751869202,0.004876807332038879,0.6290910243988037,35.52243,36.67616248130798
20,0.17789673805236816,0.6447757,0.6362233757972717,0.005257915239781141,0.631171464920044,35.52243,36.37766242027283
21,0.18184185028076172,0.6484518,0.6422169208526611,0.003938907291740179,0.636306643486023,35.15482,35.77830791473389
22,0.19232416152954102,0.6560408,0.646786093711853,0.003235327312722802,0.6445907354354858,34.39592,35.3213906288147
23,0.20247864723205566,0.65734375,0.6490763425827026,0.0036608704831451178,0.6449205875396729,34.265625,35.092365741729736
24,0.2125999927520752,0.66659606,0.6547937989234924,0.005650792736560106,0.6484518051147461,33.340393,34.52062010765076
25,0.223419189453125,0.66659606,0.6599607467651367,0.003872604575008154,0.6560407876968384,33.340393,34.00392532348633
26,0.22792410850524902,0.6666975,0.6632289290428162,0.0028798109851777554,0.6582704782485962,33.33025,33.677107095718384
27,0.2410738468170166,0.66896945,0.6660889983177185,0.0014445777051150799,0.6633458137512207,33.103054,33.39110016822815
28,0.25186896324157715,0.66896945,0.6672895550727844,0.0008801801595836878,0.6665960550308228,33.103054,33.27104449272156
29,0.2561647891998291,0.6709696,0.6683993935585022,0.001103906542994082,0.6667947769165039,32.903038,33.16006064414978
30,0.26668429374694824,0.6743096,0.669528067111969,0.0016063246876001358,0.6683667898178101,32.56904,33.0471932888031
31,0.2768244743347168,0.6755574,0.671149730682373,0.002379702404141426,0.668969452381134,32.444263,32.885026931762695
32,0.28768277168273926,0.67669845,0.6735920906066895,0.0022100801579654217,0.6699157357215881,32.330154,32.640790939331055
33,0.29808497428894043,0.682487,0.6764318346977234,0.002471827669069171,0.6740497350692749,31.751299,32.35681653022766
34,0.3089284896850586,0.6826917,0.67923504114151,0.002567573916167021,0.6755776405334473,31.730831,32.076495885849
35,0.3198583126068115,0.6826917,0.6809458136558533,0.0015957497525960207,0.6775203943252563,31.730831,31.905418634414673
36,0.3241417407989502,0.68656063,0.6829765439033508,0.0012347494484856725,0.6818149089813232,31.343937,31.702345609664917
37,0.33486366271972656,0.6881526,0.6842549443244934,0.0016716846730560064,0.6826916933059692,31.184738,31.57450556755066
38,0.3450894355773926,0.6888864,0.6858094334602356,0.0016748689813539386,0.6837944984436035,31.111359,31.41905665397644
39,0.35619449615478516,0.6898248,0.6875209808349609,0.0012594695435836911,0.6854842305183411,31.017517,31.247901916503906
40,0.3666086196899414,0.69196516,0.6887413859367371,0.0013455682201310992,0.6871334314346313,30.803484,31.125861406326294
