number,value,datetime_start,datetime_complete,duration,params_add_triangle_prob,params_crossover_prob,params_elitism,params_funsearch_penalty,params_funsearch_temperature,params_mutation_prob,params_num_triangles,params_p_comp,params_p_tri,params_pop_size,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
37,0.8894933462142944,2026-09-09 01:33:21.420655,2026-09-09 01:35:51.671001,0 days 00:02:30.250346,0.00620392241439519,0.8153947173628558,17,0.93240373466765,1.3275634918548913,0.03882194912135982,98,0.04722807333581869,0.22705997805349878,531,,"{""add_triangle_prob"": 0.00620392241439519, ""crossover_prob"": 0.8153947173628558, ""funsearch_penalty"": 0.93240373466765, ""funsearch_temperature"": 1.3275634918548913, ""mutation_prob"": 0.03882194912135982, ""num_triangles"": 98, ""p_comp"": 0.04722807333581869, ""p_tri"": 0.22705997805349878, ""pop_size"": 531}",COMPLETE
38,0.8998708724975586,2026-09-09 01:35:51.671392,2026-09-09 01:38:21.890787,0 days 00:02:30.219395,0.005861482848694808,0.5062036494798301,21,0.8269797335358487,1.7698066934377439,0.06484440515371578,76,0.03942321416915471,0.15983207900767643,577,,"{""add_triangle_prob"": 0.005861482848694808, ""crossover_prob"": 0.5062036494798301, ""funsearch_penalty"": 0.8269797335358487, ""funsearch_temperature"": 1.7698066934377439, ""mutation_prob"": 0.06484440515371578, ""num_triangles"": 76, ""p_comp"": 0.03942321416915471, ""p_tri"": 0.15983207900767643, ""pop_size"": 577}",COMPLETE
39,0.8875561952590942,2026-09-09 01:38:21.891154,2026-09-09 01:40:52.119974,0 days 00:02:30.228820,0.009018497318240136,0.7024477110920643,14,0.6796336439811539,0.895129159881116,0.05979130615118095,99,0.09152123230443901,0.18782114225830987,461,,"{""add_triangle_prob"": 0.009018497318240136, ""crossover_prob"": 0.7024477110920643, ""funsearch_penalty"": 0.6796336439811539, ""funsearch_temperature"": 0.895129159881116, ""mutation_prob"": 0.05979130615118095, ""num_triangles"": 99, ""p_comp"": 0.09152123230443901, ""p_tri"": 0.18782114225830987, ""pop_size"": 461}",COMPLETE
40,0.900981068611145,2026-09-09 01:40:52.120516,2026-09-09 01:43:22.324219,0 days 00:02:30.203703,0.0027631365316180077,0.7356638304719538,30,0.9346607166113656,1.6103556498886342,0.0839354908161731,95,0.06439798137859931,0.10710864815927336,506,,"{""add_triangle_prob"": 0.0027631365316180077, ""crossover_prob"": 0.7356638304719538, ""funsearch_penalty"": 0.9346607166113656, ""funsearch_temperature"": 1.6103556498886342, ""mutation_prob"": 0.0839354908161731, ""num_triangles"": 95, ""p_comp"": 0.06439798137859931, ""p_tri"": 0.10710864815927336, ""pop_size"": 506}",COMPLETE
41,0.8978678584098816,2026-09-09 01:43:22.324626,2026-09-09 01:45:52.565553,0 days 00:02:30.240927,0.008368711151787701,0.8777905422454408,23,0.7273824285263357,2.5798475419576956,0.05324263060555439,93,0.04090771013387713,0.1778545202777655,506,,"{""add_triangle_prob"": 0.008368711151787701, ""crossover_prob"": 0.8777905422454408, ""funsearch_penalty"": 0.7273824285263357, ""funsearch_temperature"": 2.5798475419576956, ""mutation_prob"": 0.05324263060555439, ""num_triangles"": 93, ""p_comp"": 0.04090771013387713, ""p_tri"": 0.1778545202777655, ""pop_size"": 506}",COMPLETE
42,0.8948796987533569,2026-09-09 01:45:52.565956,2026-09-09 01:48:22.803875,0 days 00:02:30.237919,0.004591017544399254,0.9283372345383426,1,0.7647625998556202,4.611611614363947,0.0551498021588963,89,0.06353829171585346,0.13739541984583054,565,,"{""add_triangle_prob"": 0.004591017544399254, ""crossover_prob"": 0.9283372345383426, ""funsearch_penalty"": 0.7647625998556202, ""funsearch_temperature"": 4.611611614363947, ""mutation_prob"": 0.0551498021588963, ""num_triangles"": 89, ""p_comp"": 0.06353829171585346, ""p_tri"": 0.13739541984583054, ""pop_size"": 565}",COMPLETE
43,0.8968877792358398,2026-09-09 01:48:22.804293,2026-09-09 01:50:53.026348,0 days 00:02:30.222055,0.004598965196608226,0.6762805003996429,17,0.9009013940501793,1.8705517738922035,0.060486784819412776,86,0.056259171387516495,0.1381563725806584,523,,"{""add_triangle_prob"": 0.004598965196608226, ""crossover_prob"": 0.6762805003996429, ""funsearch_penalty"": 0.9009013940501793, ""funsearch_temperature"": 1.8705517738922035, ""mutation_prob"": 0.060486784819412776, ""num_triangles"": 86, ""p_comp"": 0.056259171387516495, ""p_tri"": 0.1381563725806584, ""pop_size"": 523}",COMPLETE
44,0.8970826268196106,2026-09-09 01:50:53.026797,2026-09-09 01:53:23.247368,0 days 00:02:30.220571,0.004977480698099526,0.7769263732257321,36,0.7728301109203903,4.681815657535565,0.049229220183060904,97,0.05772552243565157,0.16062238177181698,660,,"{""add_triangle_prob"": 0.004977480698099526, ""crossover_prob"": 0.7769263732257321, ""funsearch_penalty"": 0.7728301109203903, ""funsearch_temperature"": 4.681815657535565, ""mutation_prob"": 0.049229220183060904, ""num_triangles"": 97, ""p_comp"": 0.05772552243565157, ""p_tri"": 0.16062238177181698, ""pop_size"": 660}",COMPLETE
45,0.900870144367218,2026-09-09 01:53:23.247815,2026-09-09 01:55:53.475126,0 days 00:02:30.227311,0.008701990711476612,0.7117651509535932,57,0.8160678668141761,1.329203791027826,0.05251709813267305,92,0.03299036711665188,0.18292397656675002,692,,"{""add_triangle_prob"": 0.008701990711476612, ""crossover_prob"": 0.7117651509535932, ""funsearch_penalty"": 0.8160678668141761, ""funsearch_temperature"": 1.329203791027826, ""mutation_prob"": 0.05251709813267305, ""num_triangles"": 92, ""p_comp"": 0.03299036711665188, ""p_tri"": 0.18292397656675002, ""pop_size"": 692}",COMPLETE
46,0.9033327102661133,2026-09-09 01:55:53.475574,2026-09-09 01:58:23.671068,0 days 00:02:30.195494,0.008952081502184885,0.8947492566605342,19,0.8602218339378526,1.758482472924002,0.05497767469294222,84,0.041539561146111056,0.12244113497065137,502,,"{""add_triangle_prob"": 0.008952081502184885, ""crossover_prob"": 0.8947492566605342, ""funsearch_penalty"": 0.8602218339378526, ""funsearch_temperature"": 1.758482472924002, ""mutation_prob"": 0.05497767469294222, ""num_triangles"": 84, ""p_comp"": 0.041539561146111056, ""p_tri"": 0.12244113497065137, ""pop_size"": 502}",COMPLETE
