generation,elapsed_time_sec,best,mean,std,worst,best_error,mean_error
1,0.030735254287719727,0.5293323,0.4390145540237427,0.028762029483914375,0.39849042892456055,47.066772,56.09854459762573
2,0.06783914566040039,0.54721284,0.46791666746139526,0.025275837630033493,0.4379647374153137,45.278717,53.208333253860474
3,0.10361623764038086,0.54721284,0.49217936396598816,0.020479636266827583,0.4634048342704773,45.278717,50.782063603401184
4,0.13320136070251465,0.5624911,0.5110682249069214,0.01599450781941414,0.4888341426849365,43.75089,48.89317750930786
5,0.16892313957214355,0.56623685,0.5269039273262024,0.014178114011883736,0.508362889289856,43.376316,47.30960726737976
6,0.2055494785308838,0.5899687,0.5402721166610718,0.0137795964255929,0.5229935646057129,41.00313,45.97278833389282
7,0.24308991432189941,0.5928712,0.5537727475166321,0.013461536727845669,0.5365339517593384,40.712883,44.62272524833679
8,0.27983808517456055,0.6146321,0.5672442317008972,0.01282589416950941,0.5510817766189575,38.53679,43.27557682991028
9,0.3158988952636719,0.6146321,0.5788719058036804,0.010593226179480553,0.5650638341903687,38.53679,42.11280941963196
10,0.3437678813934326,0.63067096,0.588913083076477,0.009483139030635357,0.5774894952774048,36.932903,41.108691692352295
11,0.38138318061828613,0.6465957,0.5984023809432983,0.0116140590980649,0.5863542556762695,35.340427,40.159761905670166
12,0.417586088180542,0.6467204,0.6090533137321472,0.01295354776084423,0.5949221849441528,35.327957,39.09466862678528
13,0.45725440979003906,0.6467204,0.6197727918624878,0.011468241922557354,0.6055639982223511,35.327957,38.02272081375122
14,0.4908938407897949,0.6601094,0.6301025152206421,0.010370966047048569,0.6159995198249817,33.98906,36.98974847793579
15,0.5278382301330566,0.6708052,0.6391614079475403,0.008257507346570492,0.6272557377815247,32.91948,36.08385920524597
16,0.5655591487884521,0.6708052,0.6467439532279968,0.007052275352180004,0.6377726793289185,32.91948,35.32560467720032
17,0.5954461097717285,0.6772089,0.652992308139801,0.007241953630000353,0.6450923085212708,32.27911,34.7007691860199
18,0.6329121589660645,0.67767954,0.6593311429023743,0.007044325117021799,0.6505013704299927,32.232048,34.06688570976257
19,0.6717357635498047,0.6929331,0.6655237674713135,0.006692337337881327,0.6569498777389526,30.706692,33.44762325286865
20,0.709113597869873,0.6929331,0.670946478843689,0.0059076580218970776,0.6635457873344421,30.706692,32.9053521156311
21,0.7394733428955078,0.6929331,0.6763782501220703,0.0056971595622599125,0.6697118282318115,30.706692,32.36217498779297
22,0.7679307460784912,0.6967659,0.6812548041343689,0.005715474020689726,0.6748353242874146,30.32341,31.87451958656311
23,0.8050158023834229,0.7004391,0.6861013174057007,0.005280122626572847,0.6792042255401611,29.95609,31.38986825942993
24,0.8425769805908203,0.70172405,0.690742552280426,0.004011772572994232,0.6845943331718445,29.827595,30.925744771957397
25,0.8794329166412354,0.70376956,0.6942806839942932,0.0031024182680994272,0.6899054646492004,29.623043,30.57193160057068
26,0.9167759418487549,0.707163,0.6972143054008484,0.0027837995439767838,0.6933175921440125,29.283703,30.27856945991516
27,0.954082727432251,0.7089855,0.6998780965805054,0.0026955390349030495,0.6964694261550903,29.10145,30.012190341949463
28,0.990776538848877,0.7096354,0.7022408843040466,0.0024334252811968327,0.6993057131767273,29.036463,29.775911569595337
29,1.0284249782562256,0.71476436,0.7043874859809875,0.0024820866528898478,0.7014445066452026,28.523563,29.561251401901245
30,1.0645396709442139,0.7151108,0.7066620588302612,0.00236611720174551,0.7037632465362549,28.488922,29.333794116973877
31,1.101576328277588,0.7168145,0.7090123295783997,0.002547228941693902,0.7062322497367859,28.318548,29.098767042160034
32,1.138817310333252,0.71730936,0.7112903594970703,0.0024448041804134846,0.7081619501113892,28.269064,28.87096405029297
33,1.1756408214569092,0.7196256,0.713516354560852,0.002020974177867174,0.7106646299362183,28.037441,28.648364543914795
34,1.2128562927246094,0.7209524,0.7155657410621643,0.0019047451205551624,0.7130095958709717,27.90476,28.44342589378357
35,1.2484345436096191,0.72295296,0.7173489928245544,0.0017392515437677503,0.7151703834533691,27.704704,28.265100717544556
36,1.2845392227172852,0.7260909,0.71889328956604,0.001696176826953888,0.7167993783950806,27.39091,28.110671043395996
37,1.3213391304016113,0.7260909,0.7206227779388428,0.0015476917615160346,0.7186616659164429,27.39091,27.937722206115723
38,1.3517112731933594,0.7270279,0.7221106290817261,0.0015182261122390628,0.7202918529510498,27.29721,27.788937091827393
39,1.3879573345184326,0.72953963,0.7234265804290771,0.0013971264706924558,0.7217391133308411,27.046036,27.657341957092285
